"Date","Performed_Tests","Total_tests_per_thousand","Daily_Tests","New_tests_per_thousand","Confirmed_cases","Total_cases_per_million","Active_cases","New_daily_cases","New_cases_per_million","Positive_rate","Hospitalized","Hosp_patients_per_million","In_ICU","ICU_patients_per_million","Recovered","Daily_recovered","Deaths","Total_deaths_per_million","Daily_deaths","New_deaths_per_million","Reproduction_rate","Total_vaccinations","People_vaccinated","People_fully_vaccinated","New_vaccinations","Total_vaccinations_per_hundred","People_vaccinated_per_hundred","People_fully_vaccinated_per_hundred"
2020-03-08,NA,NA,NA,NA,4,0.576,NA,4,0.576,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-09,NA,NA,NA,NA,4,0.576,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-10,NA,NA,NA,NA,4,0.576,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-11,NA,NA,NA,NA,7,1.007,NA,3,0.432,NA,NA,NA,NA,NA,NA,NA,1,0.144,1,0.144,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-12,NA,NA,NA,NA,7,1.007,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1,0.144,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-13,NA,NA,NA,NA,23,3.31,NA,16,2.303,NA,NA,NA,NA,NA,NA,NA,1,0.144,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-14,NA,NA,NA,NA,41,5.901,NA,18,2.591,NA,NA,NA,NA,NA,NA,NA,2,0.288,1,0.144,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-15,NA,NA,NA,NA,51,7.34,NA,10,1.439,NA,NA,NA,NA,NA,NA,NA,2,0.288,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-16,NA,NA,NA,NA,52,7.484,NA,1,0.144,NA,NA,NA,NA,NA,NA,NA,2,0.288,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-17,NA,NA,NA,NA,67,9.642,NA,15,2.159,NA,NA,NA,NA,NA,NA,NA,2,0.288,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-18,NA,NA,NA,NA,92,13.24,NA,25,3.598,NA,NA,NA,NA,NA,NA,NA,2,0.288,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-19,NA,NA,NA,NA,94,13.528,NA,2,0.288,NA,NA,NA,NA,NA,NA,NA,3,0.432,1,0.144,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-20,NA,NA,NA,NA,127,18.277,NA,33,4.749,NA,NA,NA,NA,NA,NA,NA,3,0.432,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-21,NA,NA,NA,NA,163,23.458,NA,36,5.181,NA,NA,NA,NA,NA,NA,NA,3,0.432,0,0,1.3,NA,NA,NA,NA,NA,NA,NA
2020-03-22,NA,NA,NA,NA,187,26.912,NA,24,3.454,NA,NA,NA,NA,NA,NA,NA,3,0.432,0,0,1.27,NA,NA,NA,NA,NA,NA,NA
2020-03-23,NA,NA,NA,NA,201,28.927,NA,14,2.015,NA,NA,NA,NA,NA,NA,NA,3,0.432,0,0,1.22,NA,NA,NA,NA,NA,NA,NA
2020-03-24,NA,NA,NA,NA,218,31.374,NA,17,2.447,NA,NA,NA,NA,NA,NA,NA,3,0.432,0,0,1.18,NA,NA,NA,NA,NA,NA,NA
2020-03-25,NA,NA,NA,NA,242,34.828,NA,24,3.454,NA,NA,NA,NA,NA,NA,NA,3,0.432,0,0,1.17,NA,NA,NA,NA,NA,NA,NA
2020-03-26,NA,NA,NA,NA,264,37.994,NA,22,3.166,NA,NA,NA,NA,NA,NA,NA,3,0.432,0,0,1.16,NA,NA,NA,NA,NA,NA,NA
2020-03-27,NA,NA,NA,NA,293,42.168,NA,29,4.174,NA,NA,NA,NA,NA,NA,NA,3,0.432,0,0,1.17,NA,NA,NA,NA,NA,NA,NA
2020-03-28,NA,NA,NA,NA,331,47.637,NA,38,5.469,NA,NA,NA,NA,NA,NA,NA,7,1.007,4,0.576,1.17,NA,NA,NA,NA,NA,NA,NA
2020-03-29,NA,NA,NA,NA,346,49.795,NA,15,2.159,NA,NA,NA,NA,NA,NA,NA,8,1.151,1,0.144,1.16,NA,NA,NA,NA,NA,NA,NA
2020-03-30,NA,NA,NA,NA,359,51.666,NA,13,1.871,NA,NA,NA,NA,NA,NA,NA,8,1.151,0,0,1.15,NA,NA,NA,NA,NA,NA,NA
2020-03-31,NA,NA,NA,NA,399,57.423,NA,40,5.757,NA,NA,NA,NA,NA,NA,NA,8,1.151,0,0,1.15,NA,NA,NA,NA,NA,NA,NA
2020-04-01,NA,NA,NA,NA,422,60.733,NA,23,3.31,NA,NA,NA,NA,NA,NA,NA,10,1.439,2,0.288,1.12,NA,NA,NA,NA,NA,NA,NA
2020-04-02,NA,NA,NA,NA,457,65.77,NA,35,5.037,NA,NA,NA,NA,NA,NA,NA,10,1.439,0,0,1.09,NA,NA,NA,NA,NA,NA,NA
2020-04-03,NA,NA,NA,NA,485,69.8,NA,28,4.03,NA,NA,NA,NA,NA,NA,NA,14,2.015,4,0.576,1.07,NA,NA,NA,NA,NA,NA,NA
2020-04-04,NA,NA,NA,NA,503,72.39,NA,18,2.591,NA,NA,NA,NA,NA,NA,NA,17,2.447,3,0.432,1.05,NA,NA,NA,NA,NA,NA,NA
2020-04-05,NA,NA,NA,NA,531,76.42,NA,28,4.03,NA,NA,NA,NA,NA,NA,NA,20,2.878,3,0.432,1.05,NA,NA,NA,NA,NA,NA,NA
2020-04-06,NA,NA,NA,NA,549,79.01,NA,18,2.591,NA,210,30.223,26,3.742,NA,NA,22,3.166,2,0.288,1.04,NA,NA,NA,NA,NA,NA,NA
2020-04-07,NA,NA,NA,NA,577,83.04,NA,28,4.03,NA,213,30.654,26,3.742,NA,NA,23,3.31,1,0.144,1.01,NA,NA,NA,NA,NA,NA,NA
2020-04-08,NA,NA,NA,NA,593,85.343,NA,16,2.303,NA,233,33.533,27,3.886,NA,NA,24,3.454,1,0.144,0.99,NA,NA,NA,NA,NA,NA,NA
